##comment,序号,文件名,阶段,类别,手心朝向,幅度,小分类-手势高度,单双手,是否循环,是否作用全身,
##type,int,string,gesture.Phase,gesture.Type,gesture.DirectionOfThePalm,gesture.Amplitude,gesture.Altitude,gesture.SingleAndDoubleHand,gesture.IsLoop,bool,
##var,id,file,phase,type,directionOfThePalm,amplitude,altitude,singleAndDoubleHand,isLoop,isFullBody,
,1517,stroke_deictic_1_1517.fbx,STROKE,INVALID,,SMALL,SMALL,SINGLE_RIGHT,0,,1
,1518,stroke_deictic_2_1518.fbx,STROKE,INVALID,,SMALL,SMALL,DOUBLE,0,,2
,1519,stroke_deictic_3_1519.fbx,STROKE,INVALID,,SMALL,SMALL,DOUBLE,0,,3
,1520,stroke_deictic_4_1520.fbx,STROKE,INVALID,,SMALL,SMALL,SINGLE_RIGHT,0,,4
,1521,stroke_deictic_5_1521.fbx,STROKE,INVALID,,SMALL,SMALL,SINGLE_LEFT,0,,5
,1522,stroke_deictic_6_1522.fbx,STROKE,INVALID,,SMALL,SMALL,SINGLE_LEFT,0,,6
,1523,stroke_deictic_7_1523.fbx,STROKE,INVALID,,SMALL,SMALL,DOUBLE,0,,7
,1524,stroke_deictic_8_1524.fbx,STROKE,INVALID,,SMALL,SMALL,DOUBLE,0,,8
,1525,stroke_deictic_9_1525.fbx,STROKE,INVALID,,SMALL,SMALL,DOUBLE,0,,9
,1526,stroke_deictic_10_1526.fbx,STROKE,INVALID,,SMALL,SMALL,SINGLE_RIGHT,0,,10
,1527,stroke_deictic_down_1527.fbx,STROKE,INVALID,,SMALL,SMALL,SINGLE_RIGHT,0,,down
,1528,stroke_deictic_up_1528.fbx,STROKE,INVALID,,SMALL,SMALL,SINGLE_RIGHT,0,,up
,1529,stroke_deictic_front_1529.fbx,STROKE,INVALID,,SMALL,SMALL,SINGLE_RIGHT,0,,front
,1530,stroke_deictic_back_1530.fbx,STROKE,INVALID,,SMALL,SMALL,SINGLE_RIGHT,0,,back
,1531,stroke_deictic_come_1531.fbx,STROKE,INVALID,,SMALL,SMALL,DOUBLE,0,,come
,1532,stroke_deictic_go_1532.fbx,STROKE,INVALID,,SMALL,SMALL,DOUBLE,0,,go
,1533,stroke_deictic_small_1533.fbx,STROKE,INVALID,,SMALL,SMALL,DOUBLE,0,TRUE,small
,1534,stroke_deictic_medium_1534.fbx,STROKE,INVALID,,SMALL,SMALL,DOUBLE,0,,medium
,1535,stroke_deictic_large_1535.fbx,STROKE,INVALID,,SMALL,SMALL,DOUBLE,0,,large
,1536,stroke_deictic_Low_1536.fbx,STROKE,INVALID,,SMALL,SMALL,DOUBLE,0,,Low
,1537,stroke_deictic_medium_height_1537.fbx,STROKE,INVALID,,SMALL,SMALL,DOUBLE,0,,medium_height
,1538,stroke_deictic_high_1538.fbx,STROKE,INVALID,,SMALL,SMALL,DOUBLE,0,TRUE,high
,1539,stroke_deictic_we_1539.fbx,STROKE,INVALID,,SMALL,SMALL,DOUBLE,0,,we
,1540,stroke_deictic_you_1540.fbx,STROKE,INVALID,,SMALL,SMALL,DOUBLE,0,,you
