##comment,序号,文件名,阶段,类别,手心朝向,幅度,小分类-手势高度,单双手,是否循环,是否作用全身,
##type,int,string,gesture.Phase,gesture.Type,gesture.DirectionOfThePalm,gesture.Amplitude,gesture.Altitude,gesture.SingleAndDoubleHand,gesture.IsLoop,bool,
##var,id,file,phase,type,directionOfThePalm,amplitude,altitude,singleAndDoubleHand,isLoop,isFullBody,
,2002,stroke_metaphoric_indifferent_2002.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,indifferent
,2006,stroke_metaphoric_query_2006.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,TRUE,query
,2008,stroke_metaphoric_refuse_2008.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,refuse
,2009,stroke_metaphoric_step_by_step_2009.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,step_by_step
,2010,stroke_metaphoric_listen_to_me_2010.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,listen_to_me
,2012,stroke_metaphoric_part_2012.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,part
,2015,stroke_metaphoric_stop_2015.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,stop
,2017,stroke_metaphoric_greeting_2017.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,greeting
,2019,stroke_metaphoric_come_on_2019.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,TRUE,come_on
,2023,stroke_metaphoric_unitive_2023.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,unitive
,2028,stroke_metaphoric_fighting_2028.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,SINGLE_RIGHT,0,TRUE,fighting
,2030,stroke_metaphoric_gloomy_2030.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,gloomy
,2031,stroke_metaphoric_like_2031.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,TRUE,like
,2032,stroke_metaphoric_proud_2032.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,proud
,2033,stroke_metaphoric_shame_2033.fbx,STROKE,INVALID,INVALID,INVALID,INVALID,DOUBLE,0,,shame
